Daily and Multi-day air quality monitoring data
Measured data - All Data are GMT hour ending
Data for year 2010
Multi-day data,London Westminster,,London Marylebone Road,,Swansea Coedgwilym,,Swansea Morriston,,
Start Date,End Date,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,
01/01/2010,31/01/2010,15.5,V ngm-3,375,V ngm-3,26.6,V ngm-3,,,,,,,3.5,V ngm-3,125,V ngm-3,13.9,V ngm-3,21.4,V ngm-3,559,V ngm-3,28.3,V ngm-3,
01/02/2010,28/02/2010,15.3,V ngm-3,382,V ngm-3,16.5,V ngm-3,,,,,,,3,V ngm-3,134,V ngm-3,10.9,V ngm-3,31.3,V ngm-3,735,V ngm-3,47.2,V ngm-3,
01/03/2010,31/03/2010,15.3,V ngm-3,407,V ngm-3,14.7,V ngm-3,,,,,,,3.4,V ngm-3,248,V ngm-3,26.8,V ngm-3,21.9,V ngm-3,672,V ngm-3,62.7,V ngm-3,
01/04/2010,30/04/2010,16.5,V ngm-3,514,V ngm-3,23.3,V ngm-3,,,,,,,4.4,V ngm-3,444,V ngm-3,24.9,V ngm-3,30.1,V ngm-3,793,V ngm-3,52.6,V ngm-3,
01/05/2010,31/05/2010,17.7,V ngm-3,480,V ngm-3,18.5,V ngm-3,,,,,,,3,V ngm-3,177,V ngm-3,12.7,V ngm-3,23,V ngm-3,508,V ngm-3,38.8,V ngm-3,
01/06/2010,30/06/2010,16.4,V ngm-3,461,V ngm-3,19.9,V ngm-3,,,,,,,3.1,V ngm-3,171,V ngm-3,10.8,V ngm-3,31,V ngm-3,427,V ngm-3,29.2,V ngm-3,
01/07/2010,31/07/2010,13.4,V ngm-3,408,V ngm-3,12,V ngm-3,,,,,,,5.1,V ngm-3,92,V ngm-3,8.1,V ngm-3,29,V ngm-3,334,V ngm-3,17,V ngm-3,
01/08/2010,31/08/2010,13.4,V ngm-3,376,V ngm-3,10.7,V ngm-3,,,,,,,3.1,V ngm-3,78,V ngm-3,5.2,V ngm-3,32.3,V ngm-3,371,V ngm-3,12.5,V ngm-3,
01/09/2010,30/09/2010,16.6,V ngm-3,428,V ngm-3,17.5,V ngm-3,,,,,,,3.9,V ngm-3,117,V ngm-3,10.4,V ngm-3,39.4,V ngm-3,540,V ngm-3,26.1,V ngm-3,
01/10/2010,31/10/2010,17.7,V ngm-3,430,V ngm-3,20.6,V ngm-3,,,,,,,4.9,V ngm-3,156,V ngm-3,14.3,V ngm-3,58,V ngm-3,540,V ngm-3,31.8,V ngm-3,
01/11/2010,30/11/2010,26.6,V ngm-3,488,V ngm-3,28.8,V ngm-3,,,,,,,5.5,V ngm-3,137,V ngm-3,13.6,V ngm-3,52.2,V ngm-3,647,V ngm-3,28.9,V ngm-3,
01/12/2010,31/12/2010,15.1,V ngm-3,398,V ngm-3,19.1,V ngm-3,,,,,,,4.7,V ngm-3,160,V ngm-3,16.5,V ngm-3,76.4,V ngm-3,825,V ngm-3,46.1,V ngm-3,
Data for year 2011
Multi-day data,London Westminster,,London Marylebone Road,,Swansea Coedgwilym,,Swansea Morriston,,
Start Date,End Date,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,Cu,Status / units,Fe,Status / units,Zn,Status / units,
01/01/2011,31/01/2011,15.07,V ngm-3,381.8,V ngm-3,17.75,V ngm-3,,,,,,,5.15,V ngm-3,107.1,V ngm-3,10.5,V ngm-3,50.15,V ngm-3,626.3,V ngm-3,39.96,V ngm-3,
01/02/2011,28/02/2011,13.28,V ngm-3,360.7,V ngm-3,23.9,V ngm-3,,,,,,,4.74,V ngm-3,112.7,V ngm-3,13.56,V ngm-3,31.23,V ngm-3,457.1,V ngm-3,32.26,V ngm-3,
01/03/2011,31/03/2011,20.32,V ngm-3,569.2,V ngm-3,29.6,V ngm-3,,,,,,,5.75,V ngm-3,220.6,V ngm-3,26.58,V ngm-3,67.77,V ngm-3,687.8,V ngm-3,48.89,V ngm-3,
